"","SYMBOL","ENTREZID"
"Gsdma",Gsdma,57911
"Slc25a18",Slc25a18,71803
"Rpl13a",Rpl13a,22121
"Dnpep",Dnpep,13437
"Rpl24",Rpl24,68193
"Uqcrfs1",Uqcrfs1,66694
"Rpl3",Rpl3,27367
"Myh9",Myh9,17886
"Erh",Erh,13877
"Ddx1",Ddx1,104721
"Dynll2",Dynll2,68097
"Ptbp2",Ptbp2,56195
"Clasp2",Clasp2,76499
"Msi2",Msi2,76626
"Por",Por,18984
"Dusp14",Dusp14,56405
"Chchd2",Chchd2,14004
"Rps20",Rps20,67427
"Nap1l4",Nap1l4,17955
"Prpf8",Prpf8,192159
"Calm1",Calm1,12313
"Pak2",Pak2,224105
"Padi2",Padi2,18600
"Marc2",Marc2,67247
"Cops3",Cops3,26572
"Sardh",Sardh,192166
"Pacsin1",Pacsin1,23969
"Eif3j",Eif3j,NA
"Snrpb",Snrpb,20638
"Ide",Ide,15925
"Mtch2",Mtch2,56428
"Gars",Gars,353172
"Clybl",Clybl,69634
"Ube2l3",Ube2l3,22195
"Psma4",Psma4,26441
"Zadh2",Zadh2,225791
"Gphn",Gphn,268566
"Stx7",Stx7,53331
"Cpne3",Cpne3,70568
"Slc1a5",Slc1a5,20514
"Syp",Syp,20977
"Lin7c",Lin7c,22343
"Psme1",Psme1,19186
"Gstz1",Gstz1,14874
"Ckmt1",Ckmt1,12716
"Pld3",Pld3,18807
"Clic4",Clic4,29876
"Clic6",Clic6,209195
"Sirt2",Sirt2,64383
"Myl6",Myl6,17904
"Rps7",Rps7,20115
"Pdhx",Pdhx,27402
"Tagln2",Tagln2,21346
"Bckdha",Bckdha,12039
"Ctbp1",Ctbp1,13016
"Iars2",Iars2,381314
"Rpl18a",Rpl18a,76808
"Psmb1",Psmb1,19170
"Rpl6",Rpl6,19988
"Ppt1",Ppt1,19063
"Pdcd6",Pdcd6,18570
"Csnk2a1",Csnk2a1,12995
"Pnp",Pnp,18950
"Ruvbl1",Ruvbl1,56505
"Hmgcs2",Hmgcs2,15360
"Arf6",Arf6,11845
"Dad1",Dad1,13135
"Uchl1",Uchl1,22223
"Psmb3",Psmb3,26446
"Pdcd6ip",Pdcd6ip,18571
"St13",St13,70356
"Rps25",Rps25,75617
"Nop56",Nop56,67134
"Cops5",Cops5,26754
"Rpl23",Rpl23,65019
"Cotl1",Cotl1,72042
"Rps15a",Rps15a,267019
"Lasp1",Lasp1,16796
"Tmed7",Tmed7,66676
"Abce1",Abce1,24015
"NA..5",,NULL
"Cryzl2",Cryzl2,226527
"Rps12",Rps12,20042
"Atp6v0d1",Atp6v0d1,11972
"Vps26a",Vps26a,30930
"Vps26b",Vps26b,69091
"Bphl",Bphl,68021
"Sec14l2",Sec14l2,67815
"Cdc42ep4",Cdc42ep4,56699
"Sparcl1",Sparcl1,13602
"Asna1",Asna1,56495
"Shmt2",Shmt2,108037
"Ewsr1",Ewsr1,14030
"Srsf7",Srsf7,225027
"Psmd11",Psmd11,69077
"Aars",Aars,234734
"Ptpa",Ptpa,110854
"Idi1",Idi1,319554
"Cth",Cth,107869
"Api5",Api5,11800
"Fubp1",Fubp1,51886
"Fhl1",Fhl1,14199
"RPS13",RPS13,NA
"Emc1",Emc1,230866
"Gna11",Gna11,14672
"Phka1",Phka1,18679
"Bub3",Bub3,12237
"Cisd1",Cisd1,52637
"Acad8",Acad8,66948
"Rala",Rala,56044
"Numa1",Numa1,101706
"Fam49a",Fam49a,76820
"Dpysl4",Dpysl4,26757
"Acp1",Acp1,11431
"Decr1",Decr1,67460
"Snrpd1",Snrpd1,20641
"Reep5",Reep5,13476
"Cul3",Cul3,26554
"Nomo1",Nomo1,211548
"Rpl27",Rpl27,19942
"Pcyox1",Pcyox1,66881
"Ndufa4",Ndufa4,17992
"Gpt",Gpt,76282
"Ube2k",Ube2k,53323
"Top1",Top1,21969
"Ccar2",Ccar2,219158
"Cst3",Cst3,13010
"Hp1bp3",Hp1bp3,15441
"Acly",Acly,104112
"Fahd2",Fahd2,NA
"Abhd12",Abhd12,76192
"Picalm",Picalm,233489
"Vwa5a",Vwa5a,67776
"Eif5a",Eif5a,276770
"Anp32a",Anp32a,11737
"Ndufb10",Ndufb10,68342
"Idh3g",Idh3g,15929
"Naxe",Naxe,246703
"Bzw1",Bzw1,66882
"Dctn1",Dctn1,13191
"Asl",Asl,109900
"Atp6v1h",Atp6v1h,108664
"Tm9sf4",Tm9sf4,99237
"Pgrmc2",Pgrmc2,70804
"Gpm6b",Gpm6b,14758
"Rpl27a",Rpl27a,26451
"Camk2g",Camk2g,12325
"Lamp2",Lamp2,16784
"Snx5",Snx5,69178
"Snx27",Snx27,76742
"Tpm3",Tpm3,59069
"Fdxr",Fdxr,14149
"Letm1",Letm1,56384
"Wars",Wars,22375
"Copb2",Copb2,50797
"Snu13",Snu13,20826
"Ppid",Ppid,67738
"Nars",Nars,70223
"Erp29",Erp29,67397
"Psmd13",Psmd13,23997
"Lman2",Lman2,66890
"Khdrbs1",Khdrbs1,20218
"Fus",Fus,233908
"Derl1",Derl1,67819
"Stt3a",Stt3a,16430
"Atp5me",Atp5me,NA
"Acsl1",Acsl1,14081
"NA..6",,NULL
"Ddah2",Ddah2,51793
"Cfl2",Cfl2,12632
"Septin10",Septin10,NA
